v3_service	v29_service	status	added_lines	removed_lines	diff_file
account.yaml	user.yaml	changed	546	978	/home/mithun/Desktop/spec-diff/diff-report/account__VS__user.diff
billing-payment.yaml	billing.yaml	changed	2719	1830	/home/mithun/Desktop/spec-diff/diff-report/billing-payment__VS__billing.diff
billing-payment.yaml	collection-management.yaml	changed	2719	1751	/home/mithun/Desktop/spec-diff/diff-report/billing-payment__VS__collection-management.diff
billing-payment.yaml	payment-gateway.yaml	changed	2719	581	/home/mithun/Desktop/spec-diff/diff-report/billing-payment__VS__payment-gateway.diff
boundary.yaml	Boundary-V2.yaml	changed	816	510	/home/mithun/Desktop/spec-diff/diff-report/boundary__VS__Boundary-V2.diff
common.yaml	common-contract.yaml	changed	276	378	/home/mithun/Desktop/spec-diff/diff-report/common__VS__common-contract.diff
filestore.yaml	filestore.yaml	changed	661	276	/home/mithun/Desktop/spec-diff/diff-report/filestore__VS__filestore.diff
idgen.yaml	id-generation.yaml	changed	493	287	/home/mithun/Desktop/spec-diff/diff-report/idgen__VS__id-generation.diff
individual.yaml	user.yaml	changed	712	942	/home/mithun/Desktop/spec-diff/diff-report/individual__VS__user.diff
localization.yaml	master-service.yaml	changed	443	5815	/home/mithun/Desktop/spec-diff/diff-report/localization__VS__master-service.diff
mdms.yaml	mdms-v2.yaml	changed	591	44	/home/mithun/Desktop/spec-diff/diff-report/mdms__VS__mdms-v2.diff
mdms.yaml	mdms.yaml	changed	901	305	/home/mithun/Desktop/spec-diff/diff-report/mdms__VS__mdms.diff
notification.yaml	user-event.yaml	changed	625	812	/home/mithun/Desktop/spec-diff/diff-report/notification__VS__user-event.diff
otp.yaml	otp.yaml	changed	469	335	/home/mithun/Desktop/spec-diff/diff-report/otp__VS__otp.diff
workflow.yaml	workflow.yaml	changed	955	1684	/home/mithun/Desktop/spec-diff/diff-report/workflow__VS__workflow.diff
